"genes"	"logFC"	"p_value"	"q_value"
"132"	"ACAA1"	-0.251004	0.80675	0.99948
"133"	"ACAA2"	-0.0666169	0.9348	0.99948
"134"	"ACACA"	0.379305	0.8284	0.99948
"135"	"ACACB"	-0.243209	0.8208	0.99948
"136"	"ACAD10"	0.718893	0.48445	0.99948
"137"	"ACAD11"	-1.14513	0.4975	0.99948
"138"	"ACAD8"	-0.202032	0.85615	0.99948
"139"	"ACAD9"	-0.655688	0.55925	0.99948
"140"	"ACADL"	1.36351	1	1
"141"	"ACADM"	1.2163	0.44225	0.99948
"142"	"ACADS"	2.69231	0.022	0.33978
"143"	"ACADSB"	1.58759	0.20505	0.961512
"144"	"ACADVL"	0.288502	0.6525	0.99948
"145"	"ACAN"	-797.519	1	1
"146"	"ACAP1"	1.28321	0.17785	0.931046
"147"	"ACAP2"	0.476162	0.4093	0.99948
"148"	"ACAP3"	0.258871	0.8126	0.99948
"149"	"ACAT1"	0.830527	0.44215	0.99948
"150"	"ACAT2"	-1.84641	0.20255	0.960201
"151"	"ACBD3"	-0.107207	0.84555	0.99948
"152"	"ACBD4"	2.20617	0.01165	0.222363
"153"	"ACBD5"	-0.818274	0.48215	0.99948
"154"	"ACBD6"	-0.626743	0.6287	0.99948
"155"	"ACBD7"	-0.199288	0.82995	0.99948
"156"	"ACCS"	8.09176	1	1
"157"	"ACCSL"	0	1	1
"158"	"ACD"	1.31176	0.29375	0.99948
"159"	"ACE"	-0.809463	0.49585	0.99948
"160"	"ACE2"	-0.524061	0.5673	0.99948
"161"	"ACER1"	0	1	1
"162"	"ACER2"	2.31223	0.11	0.795953
"163"	"ACER3"	0.708986	0.6473	0.99948
"164"	"ACHE"	2.01726	0.1181	0.811203
"165"	"ACIN1"	-0.0594825	0.93865	0.99948
"166"	"ACKR1"	0	1	1
"167"	"ACKR2"	2.79838	0.0047	0.116391
"168"	"ACKR3"	2.12797	0.0682	0.646183
"169"	"ACKR4"	2.73531	1	1
"170"	"ACLY"	-0.617205	0.5792	0.99948
"171"	"ACMSD"	1.17049	1	1
"172"	"ACO1"	-1.13581	0.4006	0.99948
"173"	"ACO2"	-0.599892	0.6711	0.99948
"174"	"ACOT1"	0.767632	0.5512	0.99948
"175"	"ACOT11"	-0.0068541	0.9956	0.99948
"176"	"ACOT12"	-797.519	1	1
"177"	"ACOT13"	-1.10046	0.38615	0.99948
"178"	"ACOT2"	1.36376	0.185	0.93796
"179"	"ACOT4"	-0.0527724	0.94305	0.99948
"180"	"ACOT6"	-797.519	1	1
"181"	"ACOT7"	2.08731	0.1111	0.799518
"182"	"ACOT8"	1.28063	0.33405	0.99948
"183"	"ACOT9"	0.478933	0.80105	0.99948
"184"	"ACOX1"	0.164031	0.8095	0.99948
"185"	"ACOX2"	-3.41172	6e-04	0.028499
"186"	"ACOX3"	-1.78179	0.13085	0.83493
"187"	"ACOXL"	0.259928	0.86565	0.99948
"188"	"ACP1"	-1.18081	0.2385	0.989718
"189"	"ACP2"	-0.31158	0.7942	0.99948
"190"	"ACP5"	-0.0960501	0.91975	0.99948
"191"	"ACP6"	-2.84151	0.0016	0.0558535
"192"	"ACPP"	-1.91882	0.15115	0.879277
"193"	"ACPT"	0	1	1
"194"	"ACR"	-797.519	1	1
"195"	"ACRBP"	-1.99257	0.03075	0.414396
"196"	"ACRC"	-5.60877	5e-05	0.00458449
"197"	"ACRV1"	0	1	1
"198"	"ACSBG1"	0	1	1
"199"	"ACSBG2"	0	1	1
"200"	"ACSF2"	0.136369	0.8982	0.99948
"201"	"ACSF3"	-0.357243	0.74235	0.99948
"202"	"ACSL1"	-0.0290198	0.9503	0.99948
"203"	"ACSL3"	0.405597	0.4828	0.99948
"204"	"ACSL4"	0.525234	0.3934	0.99948
"205"	"ACSL5"	0.7432	0.61245	0.99948
"206"	"ACSL6"	2.61069	1	1
"207"	"ACSM1"	-4.70581	1	1
"208"	"ACSM2A"	3.42944	0.0815	0.701123
"209"	"ACSM2B"	-1.6732	0.1297	0.833613
"210"	"ACSM3"	1.2232	0.5179	0.99948
"211"	"ACSM4"	0	1	1
"212"	"ACSM5"	3.51898	0.00025	0.015028
"213"	"ACSM6"	-797.519	1	1
"214"	"ACSS1"	1.14524	0.2742	0.99948
"215"	"ACSS2"	-0.936792	0.42105	0.99948
"216"	"ACSS3"	2.04119	0.20465	0.961342
"217"	"ACTA1"	0.82035	0.2802	0.99948
"218"	"ACTA2"	0.950913	0.6642	0.99948
"219"	"ACTA2-AS1"	768.314	1	1
"220"	"ACTB"	-0.257275	0.54675	0.99948
"221"	"ACTBL2"	0	1	1
"222"	"ACTC1"	1.02832	1	1
"223"	"ACTG1"	0.135905	0.79725	0.99948
"224"	"ACTG1P17"	-2.04652	1	1
"225"	"ACTG1P20"	0.440435	0.7068	0.99948
"226"	"ACTG1P4"	-0.928426	1	1
"227"	"ACTG2"	1.5187	1	1
"228"	"ACTL10"	-4.75611	0.25125	0.994777
"229"	"ACTL6A"	-0.03314	0.9711	0.99948
"230"	"ACTL6B"	0	1	1
"231"	"ACTL7A"	0	1	1
"232"	"ACTL7B"	0	1	1
"233"	"ACTL8"	0	1	1
"234"	"ACTL9"	0	1	1
"235"	"ACTN1"	-0.415803	0.4976	0.99948
"236"	"ACTN1-AS1"	0	1	1
"237"	"ACTN2"	-3.91127	0.25655	0.997946
"238"	"ACTN3"	0	1	1
"239"	"ACTN4"	-0.397194	0.5359	0.99948
"240"	"ACTR10"	1.04498	0.55195	0.99948
"241"	"ACTR1A"	-0.410511	0.35275	0.99948
"242"	"ACTR1B"	-0.987597	0.39675	0.99948
"243"	"ACTR2"	0.0139499	0.9753	0.99948
"244"	"ACTR3"	0.07579	0.86245	0.99948
"245"	"ACTR3B"	0.0872248	1	1
"246"	"ACTR3BP2"	0	1	1
"247"	"ACTR3BP5"	0	1	1
"248"	"ACTR3C"	-0.685945	0.6804	0.99948
"249"	"ACTR5"	-2.53184	1	1
"250"	"ACTR6"	-0.340051	0.7603	0.99948
"251"	"ACTR8"	-0.0731718	0.95825	0.99948
"252"	"ACTRT1"	0	1	1
"253"	"ACTRT2"	0	1	1
"254"	"ACTRT3"	1.15848	0.1307	0.83493
"255"	"ACVR1"	0.180358	0.8758	0.99948
"256"	"ACVR1B"	-0.072681	0.8922	0.99948
"257"	"ACVR1C"	-0.0282767	1	1
"258"	"ACVR2A"	-0.110576	0.9279	0.99948
"259"	"ACVR2B"	-0.545592	0.6247	0.99948
"260"	"ACVR2B-AS1"	-0.228635	1	1
"261"	"ACVRL1"	0.071762	0.94495	0.99948
"262"	"ACY1"	1.88012	0.1158	0.807996
"263"	"ACY3"	5.58128	0.00295	0.084627
"264"	"ACYP1"	3.51948	0.17285	0.924696
"265"	"ACYP2"	3.27922	1	1
"266"	"ADA"	0.0494564	0.9569	0.99948
"267"	"ADAD1"	0	1	1
"268"	"ADAD2"	768.314	1	1
"269"	"ADAL"	0.0982463	0.94135	0.99948
"270"	"ADAM10"	-0.253228	0.65455	0.99948
"271"	"ADAM11"	0	1	1
"272"	"ADAM12"	0.453119	0.73035	0.99948
"273"	"ADAM15"	-0.258043	0.834	0.99948
"274"	"ADAM17"	0.00779643	0.9917	0.99948
"275"	"ADAM18"	0	1	1
"276"	"ADAM19"	0.501963	0.69355	0.99948
"277"	"ADAM1A"	1.57141	0.0797	0.692215
"278"	"ADAM2"	0	1	1
"279"	"ADAM20"	-0.78333	1	1
"280"	"ADAM20P1"	1.08071	1	1
"281"	"ADAM21"	0	1	1
"282"	"ADAM21P1"	0	1	1
"283"	"ADAM22"	1.84726	1	1
"284"	"ADAM23"	768.314	1	1
"285"	"ADAM28"	-0.46931	0.6752	0.99948
"286"	"ADAM29"	-797.519	1	1
"287"	"ADAM30"	-797.519	1	1
"288"	"ADAM32"	-3.40331	4e-04	0.0209199
"289"	"ADAM33"	-2.04393	1	1
"290"	"ADAM3A"	0	1	1
"291"	"ADAM5"	0	1	1
"292"	"ADAM6"	0	1	1
"293"	"ADAM7"	0	1	1
"294"	"ADAM8"	0.199723	0.9047	0.99948
"295"	"ADAM9"	-0.0356567	0.9534	0.99948
"296"	"ADAMDEC1"	0.0574479	0.96605	0.99948
"297"	"ADAMTS1"	1.84755	0.0578	0.590098
"298"	"ADAMTS10"	2.36729	1	1
"299"	"ADAMTS12"	0	1	1
"300"	"ADAMTS13"	8.12295	1	1
"301"	"ADAMTS14"	8.71863	1	1
"302"	"ADAMTS15"	768.314	1	1
"303"	"ADAMTS16"	768.314	1	1
"304"	"ADAMTS17"	-0.336527	1	1
"305"	"ADAMTS18"	-0.915373	1	1
"306"	"ADAMTS19"	768.314	1	1
"307"	"ADAMTS19-AS1"	0	1	1
"308"	"ADAMTS2"	0.261029	0.8269	0.99948
"309"	"ADAMTS20"	0	1	1
"310"	"ADAMTS3"	-0.0469993	1	1
"311"	"ADAMTS4"	-0.0152782	0.98865	0.99948
"312"	"ADAMTS5"	-2.34069	1	1
"313"	"ADAMTS6"	-797.519	1	1
"314"	"ADAMTS7"	-2.48396	1	1
"315"	"ADAMTS7P1"	-1.94345	1	1
"316"	"ADAMTS8"	0	1	1
"317"	"ADAMTS9"	-1.54692	0.4352	0.99948
"318"	"ADAMTS9-AS1"	2.9482	0.4924	0.99948
"319"	"ADAMTS9-AS2"	-0.103715	1	1
"320"	"ADAMTSL1"	-797.519	1	1
"321"	"ADAMTSL2"	-1.56944	1	1
"322"	"ADAMTSL3"	0	1	1
"323"	"ADAMTSL4"	0.958025	0.2788	0.99948
"324"	"ADAMTSL4-AS1"	-1.19721	0.4343	0.99948
"325"	"ADAMTSL5"	768.314	1	1
"326"	"ADAP1"	0.288323	0.7819	0.99948
"327"	"ADAP2"	-0.895834	0.45885	0.99948
"328"	"ADAR"	-0.216325	0.66645	0.99948
"329"	"ADARB1"	-0.711586	0.48155	0.99948
"330"	"ADARB2"	-0.00277148	0.99805	0.99948
"331"	"ADARB2-AS1"	768.314	1	1
"332"	"ADAT1"	0.273054	0.7583	0.99948
"333"	"ADAT2"	-0.784316	0.39525	0.99948
"334"	"ADAT3"	-3.51569	0.269	0.99948
"335"	"ADCK1"	-2.59401	1	1
"336"	"ADCK2"	-0.76538	0.4477	0.99948
"337"	"ADCK3"	0.093091	0.9319	0.99948
"338"	"ADCK4"	0.0474129	0.97135	0.99948
"339"	"ADCK5"	-1.87406	0.4787	0.99948
"340"	"ADCY1"	3.17039	1	1
"341"	"ADCY10"	768.314	1	1
"342"	"ADCY10P1"	-1.90839	0.19145	0.949191
"343"	"ADCY2"	-3.24975	1	1
"344"	"ADCY3"	0.231124	0.88555	0.99948
"345"	"ADCY4"	-0.926429	0.42655	0.99948
"346"	"ADCY5"	-3.32983	1	1
"347"	"ADCY6"	-1.66849	0.22775	0.983277
"348"	"ADCY7"	0.350025	0.63935	0.99948
"349"	"ADCY8"	768.314	1	1
"350"	"ADCY9"	-0.370217	0.77615	0.99948
"351"	"ADCYAP1"	768.314	0.0546	0.57443
"352"	"ADCYAP1R1"	-1.27321	1	1
"353"	"ADD1"	-0.0696416	0.90705	0.99948
"354"	"ADD2"	0.830166	1	1
"355"	"ADD3"	1.22742	0.26435	0.99948
"356"	"ADD3-AS1"	0	1	1
"357"	"ADGB"	1.66283	1	1
"358"	"ADGRA1"	0	1	1
"359"	"ADGRA1-AS1"	0	1	1
"360"	"ADGRA2"	-0.544492	1	1
"361"	"ADGRA3"	-2.75332	0.00385	0.101042
"362"	"ADGRB1"	0.409569	0.64	0.99948
"363"	"ADGRB2"	0	1	1
"364"	"ADGRB3"	-797.519	1	1
"365"	"ADGRD1"	-6.44168	0.06495	0.628125
"366"	"ADGRE1"	-0.719446	0.50575	0.99948
"367"	"ADGRE2"	-0.00016008	0.99975	0.999869
"368"	"ADGRE3"	-0.0745381	0.9481	0.99948
"369"	"ADGRE4P"	2.64518	0.00375	0.0998644
"370"	"ADGRE5"	0.284693	0.70875	0.99948
"371"	"ADGRF1"	0.637209	0.4116	0.99948
"372"	"ADGRF2"	-0.819757	0.3784	0.99948
"373"	"ADGRF3"	1.55093	1	1
"374"	"ADGRF4"	3.17414	1	1
"375"	"ADGRF5"	-7.9563	1	1
"376"	"ADGRG1"	-0.825825	0.4318	0.99948
"377"	"ADGRG2"	768.314	1	1
"378"	"ADGRG3"	-0.289898	0.74725	0.99948
"379"	"ADGRG4"	-797.519	1	1
"380"	"ADGRG5"	-2.44519	0.1941	0.952795
"381"	"ADGRG6"	-0.704305	0.5582	0.99948
"382"	"ADGRG7"	0	1	1
"383"	"ADGRL1"	-3.17047	0.0492	0.544508
"384"	"ADGRL2"	-0.215822	0.8292	0.99948
"385"	"ADGRL3"	0	1	1
"386"	"ADGRL3-AS1"	0	1	1
"387"	"ADGRL4"	0	1	1
"388"	"ADGRV1"	-1.33398	1	1
"389"	"ADH1A"	0	1	1
"390"	"ADH1B"	-797.519	1	1
"391"	"ADH1C"	-797.519	1	1
"392"	"ADH4"	3.90226	1	1
"393"	"ADH5"	-0.251499	0.85455	0.99948
"394"	"ADH6"	-797.519	1	1
"395"	"ADH7"	0	1	1
"396"	"ADHFE1"	-3.74005	0.00035	0.0192063
"397"	"ADI1"	-0.70448	0.59145	0.99948
"398"	"ADIG"	0	1	1
"399"	"ADIPOQ"	-1.27382	0.09885	0.766594
"400"	"ADIPOQ-AS1"	1.33665	1	1
"401"	"ADIPOR1"	0.673383	0.26275	0.99948
"402"	"ADIPOR2"	0.26228	0.63115	0.99948
"403"	"ADIRF"	1.12682	0.536	0.99948
"404"	"ADK"	1.18067	0.31785	0.99948
"405"	"ADM"	-0.338539	0.58265	0.99948
"406"	"ADM2"	1.18695	1	1
"407"	"ADM5"	-797.519	1	1
"408"	"ADNP"	0.179932	0.79015	0.99948
"409"	"ADNP-AS1"	-797.519	1	1
"410"	"ADNP2"	0.753333	0.6584	0.99948
"411"	"ADO"	0.00952791	0.99435	0.99948
"412"	"ADORA1"	5.39668	0.26485	0.99948
"413"	"ADORA2A"	-0.188245	0.8768	0.99948
"414"	"ADORA2A-AS1"	1.5011	0.38585	0.99948
"415"	"ADORA2B"	-4.38031	1e-04	0.00770585
"416"	"ADORA3"	-1.32387	0.4479	0.99948
"417"	"ADPGK"	-0.393942	0.70075	0.99948
"418"	"ADPGK-AS1"	0.509883	0.74505	0.99948
"419"	"ADPRH"	0.464217	0.668	0.99948
"420"	"ADPRHL1"	-4.05098	1	1
"421"	"ADPRHL2"	-0.3437	0.752	0.99948
"422"	"ADPRM"	-1.59632	0.0593	0.597086
"423"	"ADRA1A"	2.01647	1	1
"424"	"ADRA1B"	-2.1566	0.00875	0.183181
"425"	"ADRA1D"	0	1	1
"426"	"ADRA2A"	768.314	1	1
"427"	"ADRA2B"	7.38274	1	1
"428"	"ADRA2C"	-797.519	5e-05	0.00458449
"429"	"ADRB1"	1.00206	0.2712	0.99948
"430"	"ADRB2"	-2.36349	0.01855	0.302969
"431"	"ADRB3"	-1.17915	1	1
"432"	"ADRBK1"	0.0170901	0.9744	0.99948
"433"	"ADRBK2"	0.0505398	0.9204	0.99948
"434"	"ADRM1"	0.8405	0.40465	0.99948
"435"	"ADSL"	0.955579	0.4238	0.99948
"436"	"ADSS"	-1.18344	0.34185	0.99948
"437"	"ADSSL1"	-0.978071	1	1
"438"	"ADTRP"	-0.329134	1	1
"439"	"AEBP1"	-4.55791	1	1
"440"	"AEBP2"	-0.35234	0.81855	0.99948
"441"	"AEN"	-0.480344	0.6053	0.99948
"442"	"AES"	0.346208	0.5843	0.99948
"443"	"AFAP1"	-0.826844	0.4761	0.99948
"444"	"AFAP1-AS1"	-797.519	1	1
"445"	"AFAP1L1"	1.93408	1	1
"446"	"AFAP1L2"	-0.609459	0.5465	0.99948
"447"	"AFF1"	0.0564031	0.93815	0.99948
"448"	"AFF2"	0.496864	0.5338	0.99948
"449"	"AFF3"	-0.45897	0.66915	0.99948
"450"	"AFF4"	0.213368	0.67225	0.99948
"451"	"AFG3L1P"	0.165517	0.8804	0.99948
"452"	"AFG3L2"	0.454194	0.7853	0.99948
"453"	"AFM"	0	1	1
"454"	"AFMID"	0.513751	0.5487	0.99948
"455"	"AFP"	0	1	1
"456"	"AFTPH"	-0.309158	0.6447	0.99948
"457"	"AGA"	1.65477	0.1286	0.828334
"458"	"AGAP1"	0.0501219	0.969	0.99948
"459"	"AGAP1-IT1"	768.314	1	1
"460"	"AGAP11"	1.49907	0.4438	0.99948
"461"	"AGAP2"	-1.66799	0.1522	0.881201
"462"	"AGAP2-AS1"	5.56959	1	1
"463"	"AGAP3"	-0.328481	0.5682	0.99948
"464"	"AGAP4"	-0.301499	0.7754	0.99948
"465"	"AGAP5"	-2.50628	0.00605	0.141137
"466"	"AGAP6"	-2.62984	0.01185	0.224406
"467"	"AGAP7P"	-0.403968	0.73385	0.99948
"468"	"AGAP9"	0.0488893	0.96785	0.99948
"469"	"AGBL1"	768.314	1	1
"470"	"AGBL1-AS1"	0	1	1
"471"	"AGBL2"	1.34325	1	1
"472"	"AGBL3"	768.314	1	1
"473"	"AGBL4"	-5.51005	1	1
"474"	"AGBL4-IT1"	0	1	1
"475"	"AGBL5"	0.36818	0.7563	0.99948
"476"	"AGBL5-AS1"	0	1	1
"477"	"AGER"	-0.33886	0.72745	0.99948
"478"	"AGFG1"	-0.337489	0.66375	0.99948
"479"	"AGFG2"	1.00354	0.38235	0.99948
"480"	"AGGF1"	0.0139002	0.99265	0.99948
"481"	"AGK"	-2.27383	0.02475	0.366244
"482"	"AGL"	0.176616	0.8571	0.99948
"483"	"AGMAT"	-0.142038	0.9253	0.99948
"484"	"AGMO"	-1.43032	1	1
"485"	"AGO1"	0.207393	0.66875	0.99948
"486"	"AGO2"	-0.320104	0.7734	0.99948
"487"	"AGO3"	-0.386225	0.7148	0.99948
"488"	"AGO4"	0.147566	0.76395	0.99948
"489"	"AGPAT1"	0.9232	0.4878	0.99948
"490"	"AGPAT2"	-1.01596	0.37145	0.99948
"491"	"AGPAT3"	0.282602	0.6079	0.99948
"492"	"AGPAT4"	-1.74694	0.18375	0.937663
"493"	"AGPAT4-IT1"	1.35368	0.59025	0.99948
"494"	"AGPAT5"	-1.79152	0.17135	0.923957
"495"	"AGPS"	-0.243707	0.87165	0.99948
"496"	"AGR2"	1.45428	0.1147	0.805962
"497"	"AGR3"	1.81529	0.01815	0.298455
"498"	"AGRN"	0.156198	0.94465	0.99948
"499"	"AGRP"	0	1	1
"500"	"AGT"	0	1	1
"501"	"AGTPBP1"	-0.413677	0.86695	0.99948
"502"	"AGTR1"	0	1	1
"503"	"AGTR2"	0	1	1
"504"	"AGTRAP"	-1.14098	0.2431	0.991344
"505"	"AGXT"	0	1	1
"506"	"AGXT2"	5.73087	0.27425	0.99948
"507"	"AHCTF1"	-0.495644	0.47235	0.99948
"508"	"AHCTF1P1"	-0.539981	1	1
"509"	"AHCY"	-0.938578	0.49115	0.99948
"510"	"AHCYL1"	1.04017	0.0924	0.742429
"511"	"AHCYL2"	0.0445539	0.964	0.99948
"512"	"AHDC1"	-0.303	0.82445	0.99948
"513"	"AHI1"	2.58295	0.0321	0.424687
"514"	"AHNAK"	0.190259	0.74395	0.99948
"515"	"AHNAK2"	-1.21868	0.23695	0.988888
"516"	"AHR"	0.134685	0.8162	0.99948
"517"	"AHRR"	3.41791	0.23285	0.986676
"518"	"AHSA1"	0.212956	0.83735	0.99948
"519"	"AHSA2"	-0.271558	0.8438	0.99948
"520"	"AHSG"	0	1	1
"521"	"AHSP"	0	1	1
"522"	"AICDA"	0.0941695	1	1
"523"	"AIDA"	-0.830374	0.76565	0.99948
"524"	"AIF1"	-0.682922	0.4094	0.99948
"525"	"AIF1L"	0.19686	0.93185	0.99948
"526"	"AIFM1"	-0.528421	0.61145	0.99948
"527"	"AIFM2"	-0.820403	0.40835	0.99948
"528"	"AIFM3"	-0.396438	0.815	0.99948
"529"	"AIG1"	0.808794	0.47385	0.99948
"530"	"AIM1"	-0.270027	0.6215	0.99948
"531"	"AIM1L"	0.125852	0.459	0.99948
"532"	"AIM2"	0.0200413	0.9797	0.99948
"533"	"AIMP1"	-0.74113	0.5474	0.99948
"534"	"AIMP2"	7.62295	0.26785	0.99948
"535"	"AIP"	-0.653126	0.53825	0.99948
"536"	"AIPL1"	1.40572	1	1
"537"	"AIRE"	1.2195	1	1
"538"	"AIRN"	1.23369	0.51655	0.99948
"539"	"AJAP1"	1.52418	0.2062	0.961533
"540"	"AJUBA"	3.78245	0.02805	0.392998
"541"	"AK1"	1.29675	0.1578	0.896138
"542"	"AK2"	0.847413	0.272	0.99948
"543"	"AK3"	0.15244	0.8988	0.99948
"544"	"AK4"	0.5515	0.66665	0.99948
"545"	"AK5"	-1.68318	0.32855	0.99948
"546"	"AK6"	0.239835	0.83385	0.99948
"547"	"AK7"	-1.08441	1	1
"548"	"AK8"	768.314	1	1
"549"	"AK9"	0.820517	0.45305	0.99948
"550"	"AKAP1"	0.0569096	0.96275	0.99948
"551"	"AKAP10"	1.9963	0.18495	0.93796
"552"	"AKAP11"	0.384521	0.4524	0.99948
"553"	"AKAP12"	-0.31436	0.9376	0.99948
"554"	"AKAP13"	0.192688	0.68245	0.99948
