"genes"	"logFC"	"p_value"	"q_value"	"entrezids"
"154"	"RNVU1-15"	768.314	5e-05	0.00458449	"101954267"
"155"	"RNY5"	768.314	1e-04	0.00770585	"6090"
"156"	"RPS6KA6"	3.54396	0.001	0.0408085	"27330"
"157"	"RXFP4"	768.314	5e-05	0.00458449	"339403"
"158"	"SBK3"	768.314	5e-05	0.00458449	"100130827"
"159"	"SCGB1B2P"	768.314	5e-05	0.00458449	"643719"
"160"	"SCRT2"	3.96262	4e-04	0.0209199	"85508"
"161"	"SDHAF4"	768.314	5e-05	0.00458449	"135154"
"162"	"SEMA3G"	4.49423	5e-05	0.00458449	"56920"
"163"	"SIT1"	768.314	5e-05	0.00458449	"27240"
"164"	"SKP1P2"	3.57325	0.0011	0.0434215	"728622"
"165"	"SLC10A1"	3.10865	0.00105	0.0421367	"6554"
"166"	"SLC13A1"	3.61832	2e-04	0.0131104	"6561"
"167"	"SLC14A1"	4.40744	2e-04	0.0131104	"6563"
"168"	"SLC16A14"	3.51629	5e-04	0.0248918	"151473"
"169"	"SLC16A8"	768.314	5e-05	0.00458449	"23539"
"170"	"SLC17A1"	768.314	5e-05	0.00458449	"6568"
"171"	"SLC22A2"	3.46176	0.00025	0.015028	"6582"
"172"	"SLC25A45"	3.11523	0.00135	0.0497645	"283130"
"173"	"SNTA1"	3.37924	3e-04	0.0171106	"6640"
"174"	"SPDYE4"	768.314	5e-05	0.00458449	"388333"
"175"	"SPOCK1"	5.31611	1e-04	0.00770585	"6695"
"176"	"SPTLC3"	3.74545	0.00085	0.0368681	"55304"
"177"	"TAF1B"	3.55923	0.0013	0.04829	"9014"
"178"	"TCAP"	3.52844	9e-04	0.0380125	"8557"
"179"	"TCF7L1"	2.9798	9e-04	0.0380125	"83439"
"180"	"TIGIT"	3.3112	1e-04	0.00770585	"201633"
"181"	"TMEM82"	3.2491	3e-04	0.0171106	"388595"
"182"	"TNFRSF13B"	768.314	5e-05	0.00458449	"23495"
"183"	"TRG-AS1"	4.04411	5e-05	0.00458449	"100506776"
"184"	"TSPAN7"	2.81402	7e-04	0.0320915	"7102"
"185"	"TYRO3"	2.90974	0.00135	0.0497645	"7301"
"186"	"UBR5-AS1"	4.69436	0.00125	0.0472813	"101927221"
"187"	"VANGL2"	3.61911	0.00085	0.0368681	"57216"
"188"	"VAT1L"	4.34715	1e-04	0.00770585	"57687"
"189"	"VGF"	3.9522	5e-04	0.0248918	"7425"
"190"	"VMAC"	3.22984	0.00085	0.0368681	"400673"
"191"	"ZDHHC23"	3.48186	0.00025	0.015028	"254887"
"192"	"ZNF132"	4.4769	5e-05	0.00458449	"7691"
"193"	"ZNF284"	3.08645	0.0012	0.0462351	"342909"
"194"	"ZNF324B"	3.5338	8e-04	0.0355509	"388569"
"195"	"ZNF674"	3.22746	0.00085	0.0368681	"641339"
"196"	"ZNF674-AS1"	3.61546	2e-04	0.0131104	"401588"
"197"	"ZNF835"	3.14254	4e-04	0.0209199	"90485"
"198"	"ZNF853"	4.2403	5e-05	0.00458449	"54753"
